Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"COAMR",,"Corispermum americanum (Nutt.) Nutt. var. rydbergii Mosyakin",American bugseed
"PHAUA6",,"Phragmites australis (Cav.) Trin. ex Steud. ssp. americanus Saltonst., P.M. Peterson & Soreng",American common reed
"VIOPA2",,"Viburnum opulus L. var. americanum Aiton",American cranberrybush
"DRPA2",,"Dracocephalum parviflorum Nutt.",American dragonhead
"VAAM3",,"Vallisneria americana Michx.",American eelgrass
"GLLE3",,"Glycyrrhiza lepidota Pursh",American licorice
"GLGRG",,"Glyceria grandis S. Watson var. grandis ",American mannagrass
"GLGR",,"Glyceria grandis S. Watson",American mannagrass
"PRAM",,"Prunus americana Marshall",American plum
"PHAM4",,"Phytolacca americana L.",American pokeweed
"PHAMA3",,"Phytolacca americana L. var. americana ",American pokeweed
"RUID",,"Rubus idaeus L.",American red raspberry
"CRAC3",,"Cryptogramma acrostichoides R. Br.",American rockbrake
"BESY",,"Beckmannia syzigachne (Steud.) Fernald",American sloughgrass
"VEAM2",,"Veronica americana Schwein. ex Benth.",American speedwell
"ARRA",,"Aralia racemosa L.",American spikenard
"ARRAB2",,"Aralia racemosa L. ssp. bicrenata (Wooton & Standl.) S.L. Welsh & N.D. Atwood",American spikenard
"CEAM2",,"Centaurea americana Nutt.",American star-thistle
"FLCE",,"Flourensia cernua DC.",American tarwort
"BUAM2",,"Bupleurum americanum J.M. Coult. & Rose",American thorow wax
"TRCA8",,"Trixis californica Kellogg",American threefold
"VIAM",,"Vicia americana Muhl. ex Willd.",American vetch
"VIAMA3",,"Vicia americana Muhl. ex Willd. ssp. americana ",American vetch
"LYAM",,"Lycopus americanus Muhl. ex W.P.C. Barton",American water horehound
"ALSU",,"Alisma subcordatum Raf.",American water plantain
"DAPU3",,"Daucus pusillus Michx.",American wild carrot
"BAOR",,"Barbarea orthoceras Ledeb.",American yellowrocket
"CASI2",,"Carex simulata Mack.",analogue sedge
"DACY",,"Dalea cylindriceps Barneby",Andean prairie clover
"ACLO2",,"Acleisanthes longiflora A. Gray",angel's trumpets
"AGHE2",,"Agoseris heterophylla (Nutt.) Greene",annual agoseris
"AGHEH",,"Agoseris heterophylla (Nutt.) Greene var. heterophylla ",annual agoseris
"POAN",,"Poa annua L.",annual bluegrass
"ERAN4",,"Eriogonum annuum Nutt.",annual buckwheat
"SILA11",,"Simsia lagasceiformis DC.",annual bushsunflower
"PHCA5",,"Phalaris canariensis L.",annual canarygrass
"STMI",,"Stevia micrantha Lag.",annual candyleaf
"DEDA",,"Deschampsia danthonioides (Trin.) Munro",annual hairgrass
"IVAN2",,"Iva annua L.",annual marsh elder
"IVANA",,"Iva annua L. var. annua ",annual marsh elder
"MUMI2",,"Muhlenbergia minutissima (Steud.) Swallen",annual muhly
"POMO5",,"Polypogon monspeliensis (L.) Desf.",annual rabbitsfoot grass
"AMAR2",,"Ambrosia artemisiifolia L.",annual ragweed
"AMARE",,"Ambrosia artemisiifolia L. var. elatior (L.) Descourtils",annual ragweed
"TOAN",,"Townsendia annua Beaman",annual Townsend daisy
"ERTR13",,"Eremopyrum triticeum (Gaertn.) Nevski",annual wheatgrass
"ALCH",,"Allionia choisyi Standl.",annual windmills
"MEIN2",,"Melilotus indicus (L.) All.",annual yellow sweetclover
"PUTR2",,"Purshia tridentata (Pursh) DC.",antelope bitterbrush
"ASASC",,"Asclepias asperula (Decne.) Woodson ssp. capricornu (Woodson) Woodson",antelopehorns
"PEOL",,"Penstemon oliganthus Wooton & Standl.",Apache beardtongue
"ARAP2",,"Arceuthobium apachecum Hawksw. & Wiens",Apache dwarf mistletoe
"LOAN",,"Lobelia anatina E. Wimm.",Apache lobelia
"ASNU7",,"Astragalus nutriosensis S.C. Sand.",Apache milkvetch
"BOPT",,"Boerhavia pterocarpa S. Watson",Apache Pass spiderling
"PIEN2",,"Pinus engelmannii Carrière",Apache pine
"FAPA",,"Fallugia paradoxa (D. Don) Endl. ex Torr.",Apache plume
"APCH",,"Apacheria chiricahuensis C.T. Mason",apachebush
"SIUR",,"Silene uralensis (Rupr.) Bocquet",apetalous catchfly
"SIURM",,"Silene uralensis (Rupr.) Bocquet ssp. montana (S. Watson) McNeill",apetalous catchfly
"SCAR",,"Schismus arabicus Nees",Arabian schismus
"ASOO",,"Astragalus oocalycis M.E. Jones",Arboles milkvetch
"ERNA",,"Eritrichium nanum (Vill.) Schrad. ex Gaudin",arctic alpine forget-me-not
"ERNAE",,"Eritrichium nanum (Vill.) Schrad. ex Gaudin var. elongatum (Rydb.) Cronquist",arctic alpine forget-me-not
"CAUN2",,"Campanula uniflora L.",arctic bellflower
"POAR2",,"Poa arctica R. Br.",arctic bluegrass
"POARA",,"Poa arctica R. Br. ssp. aperta (Scribn. & Merr.) Soreng",arctic bluegrass
"POARG",,"Poa arctica R. Br. ssp. grayana (Vasey) Á. Löve & D. Löve & Kapoor",arctic bluegrass
"SASA",,"Sagina saginoides (L.) Karst.",arctic pearlwort
"JUAR2",,"Juncus arcticus Willd.",arctic rush
"CHDE",,"Chenopodium desiccatum A. Nelson",aridland goosefoot
"MATE2",,"Malaxis tenuis (S. Watson) Ames",Arizona adder's-mouth orchid
"ALOB2",,"Alnus oblongifolia Torr.",Arizona alder
"BATH",,"Baccharis thesioides Kunth",Arizona baccharis
"HOAR",,"Hordeum arizonicum Covas",Arizona barley
"TRAR",,"Trichostema arizonicum A. Gray",Arizona bluecurls
"SIAR3",,"Sisyrinchium arizonicum Rothr.",Arizona blue-eyed grass
"RAAR2",,"Ranunculus arizonicus Lemmon ex A. Gray",Arizona buttercup
"CEAR12",,"Centaurium arizonicum (A. Gray) A. Heller",Arizona centaury
"BEAR",,"Besseya arizonica Pennell",Arizona coraldrops
"DICA8",,"Digitaria californica (Benth.) Henr.",Arizona cottontop
"HEAR22",,"Hesperocyparis arizonica (Greene) Bartel",Arizona cypress
"BRWR",,"Brachystigma wrightii (A. Gray) Pennell",Arizona desert foxglove
"RUAR3",,"Rubus arizonensis Focke",Arizona dewberry
"RUNE4",,"Rumex nematopodus Rech. f.",Arizona dock
"FEAR2",,"Festuca arizonica Vasey",Arizona fescue
"ERAR4",,"Erigeron arizonicus A. Gray",Arizona fleabane
"DIRE4",,"Dicliptera resupinata (Vahl) Juss.",Arizona foldwing
"TEACA",,"Tetraneuris acaulis (Pursh) Greene var. arizonica (Greene) K.F. Parker",Arizona four-nerve daisy
"GRAR2",,"Grindelia arizonica A. Gray",Arizona gumweed
"GRARA",,"Grindelia arizonica A. Gray var. arizonica ",Arizona gumweed
"GRARS",,"Grindelia arizonica A. Gray var. stenophylla Steyerm.",Arizona gumweed
"LOAR",,"Lonicera arizonica Rehder",Arizona honeysuckle
"ARAR2",,"Arbutus arizonica (A. Gray) Sarg.",Arizona madrone
"SODU2",,"Sorbus dumosa Greene",Arizona mountain ash
"MYCU",,"Myosurus cupulatus S. Watson",Arizona mousetail
"MUAR3",,"Muhlenbergia arizonica Scribn.",Arizona muhly
"WYAR",,"Wyethia arizonica A. Gray",Arizona mule-ears
"BOARA2",,"Bouteloua aristidoides (Kunth) Griseb. var. arizonica M.E. Jones",Arizona needle grama
"PHAR13",,"Phacelia arizonica A. Gray",Arizona phacelia
"PIAR5",,"Pinus arizonica Engelm.",Arizona pine
"PIARA",,"Pinus arizonica Engelm. var. arizonica ",Arizona pine
"PLAR",,"Plagiobothrys arizonicus (A. Gray) Greene ex A. Gray",Arizona popcornflower
"KAGR",,"Kallstroemia grandiflora Torr. ex A. Gray",Arizona poppy
"VACA5",,"Vauquelinia californica (Torr.) Sarg.",Arizona rosewood
"VACAP",,"Vauquelinia californica (Torr.) Sarg. ssp. pauciflora (Standl.) Hess & Henrickson",Arizona rosewood
"URAR",,"Urochloa arizonica (Scribn. & Merr.) O. Morrone & F. Zuloaga",Arizona signalgrass
"LYAR2",,"Lygodesmia arizonica S. Tomb",Arizona skeletonplant
"FRAR2",,"Froelichia arizonica Thornb. ex Standl.",Arizona snakecotton
"ESVIA",,"Escobaria vivipara (Nutt.) Buxbaum var. arizonica (Engelm.) D.R. Hunt",Arizona spinystar
"HEAR8",,"Helianthus arizonensis R.C. Jacks.",Arizona sunflower
"CYAR12",,"Cynanchum arizonicum (A. Gray) Shinners",Arizona swallow-wort
"PLWR2",,"Platanus wrightii S. Watson",Arizona sycamore
"CIAR3",,"Cirsium arizonicum (A. Gray) Petr.",Arizona thistle
"ARAR6",,"Aristida arizonica Vasey",Arizona threeawn
"DEAR2",,"Desmodium arizonicum S. Watson",Arizona ticktrefoil
"VAAR3",,"Valeriana arizonica A. Gray",Arizona valerian
"JUMA",,"Juglans major (Torr.) A. Heller",Arizona walnut
"ELAR7",,"Elymus arizonicus (Scribn. & J.G. Sm.) Gould",Arizona wheatgrass
"QUAR",,"Quercus arizonica Sarg.",Arizona white oak
"SAAR14",,"Salix arizonica Dorn",Arizona willow
"APSK",,"Aphanostephus skirrhobasis (DC.) Trel.",Arkansas dozedaisy
"APSKS",,"Aphanostephus skirrhobasis (DC.) Trel. var. skirrhobasis ",Arkansas dozedaisy
"SYOB",,"Symphyotrichum oblongifolium (Nutt.) G.L. Nesom",aromatic aster
"HEHY",,"Hedeoma hyssopifolia A. Gray",aromatic false pennyroyal
"MASA3",,"Malvella sagittifolia (A. Gray) Fryxell",arrowleaf mallow
"SETR",,"Senecio triangularis Hook.",arrowleaf ragwort
"PLSE",,"Pluchea sericea (Nutt.) Coville",arrowweed
"TAFR",,"Talinopsis frutescens A. Gray",arroyo fameflower
"SALA6",,"Salix lasiolepis Benth.",arroyo willow
"SALAL2",,"Salix lasiolepis Benth. var. lasiolepis ",arroyo willow
"SACU",,"Sagittaria cuneata Sheldon",arumleaf arrowhead
"ASTE8",,"Astragalus tephrodes A. Gray",ashen milkvetch
"ASTEB",,"Astragalus tephrodes A. Gray var. brachylobus (A. Gray) Barneby",ashen milkvetch
"ASTET3",,"Astragalus tephrodes A. Gray var. tephrodes ",ashen milkvetch
"GAFL2",,"Garrya flavescens S. Watson",ashy silktassel
"BRTO",,"Brassica tournefortii Gouan",Asian mustard
"ERSP4",,"Erigeron speciosus (Lindl.) DC.",aspen fleabane
"ERSPM",,"Erigeron speciosus (Lindl.) DC. var. macranthus (Nutt.) Cronquist",aspen fleabane
"ERSPS",,"Erigeron speciosus (Lindl.) DC. var. speciosus ",aspen fleabane
"ALBIP",,"Allium bisceptrum S. Watson var. palmeri (S. Watson) Cronquist",aspen onion
"LALA6",,"Lathyrus laetivirens Greene ex Rydb.",aspen pea
"COBO",,"Conyza bonariensis (L.) Cronquist",asthmaweed
"COTIA",,"Coreopsis tinctoria Nutt. var. atkinsoniana (Douglas ex Lindl.) H.M. Parker ex E.B. Sm.",Atkinson's tickseed
"CLMA4",,"Clitoria mariana L.",Atlantic pigeonwings
"ELNY",,"Ellisia nyctelea (L.) L.",Aunt Lucy
"ATSE",,"Atriplex semibaccata R. Br.",Australian saltbush
"COAU3",,"Cotula australis (Sieber ex Spreng.) Hook. f.",Australian waterbuttons
"GEAM3",,"Gentianella amarella (L.) Börner",autumn dwarf gentian
"GEAMA",,"Gentianella amarella (L.) Börner ssp. acuta (Michx.) J.M. Gillett",autumn dwarf gentian
"GEAMH",,"Gentianella amarella (L.) Börner ssp. heterosepala (Engelm.) J.M. Gillett",autumn dwarf gentian
"CAST5",,"Carex stipata Muhl. ex Willd.",awlfruit sedge
"ALFO3",,"Aliciella formosa (Greene ex Brand) J.M. Porter",Aztec gilia
"ISAZ",,"Isocoma azteca G.L. Nesom",Aztec goldenbush
"ASPR8",,"Astragalus proximus (Rydb.) Wooton & Standl.",Aztec milkvetch
"SAAZ",,"Salvia azurea Michx. ex Lam.",azure blue sage
"SONA",,"Solidago nana Nutt.",baby goldenrod
"HYVE",,"Hybanthus verticillatus (Ortega) Baill.",babyslippers
"SCSC15",,"Scabrethia scabra (Hook.) W.A. Weber",badlands mule-ears
"SCSCC",,"Scabrethia scabra (Hook.) W.A. Weber ssp. canescens (W.A. Weber) W.A. Weber",badlands mule-ears
"CHBA11",,"Chrysothamnus baileyi Wooton & Standl.",Bailey's rabbitbrush
"LUCO",,"Lupinus concinnus J. Agardh",bajada lupine
"ORBA",,"Oreoxis bakeri J.M. Coult. & Rose",Baker's alpineparsley
"CRBA4",,"Cryptantha bakeri (Greene) Payson",Baker's cryptantha
"LUBA3",,"Lupinus bakeri Greene",Baker's lupine
"LUBAB",,"Lupinus bakeri Greene ssp. bakeri ",Baker's lupine
"PHBA3",,"Phacelia bakeri (Brand) J.F. Macbr.",Baker's phacelia
"ELBA3",,"Elymus bakeri (E.E. Nelson) Á. Löve",Baker's wheatgrass
"BRRA2",,"Bromus racemosus L.",bald brome
"ELER",,"Eleocharis erythropoda Steud.",bald spikerush
"IPCO5",,"Ipomopsis congesta (Hook.) V.E. Grant",ballhead ipomopsis
"IPCOC",,"Ipomopsis congesta (Hook.) V.E. Grant ssp. crebrifolia (Nutt.) Day",ballhead ipomopsis
"IPCOF",,"Ipomopsis congesta (Hook.) V.E. Grant ssp. frutescens (Rydb.) Day",ballhead ipomopsis
"EPWI2",,"Epixiphium wislizeni (Engelm. ex A. Gray) Munz",balloonbush
"PAPA20",,"Packera paupercula (Michx.) Á. Löve & D. Löve",balsam groundsel
"YUBA",,"Yucca baccata Torr.",banana yucca
"OPFI",,"Opuntia ficus-indica (L.) Mill.",Barbary fig
"CRRUB",,"Crepis runcinata (James) Torr. & A. Gray ssp. barberi (Greenm.) Babc. & Stebbins",Barber's hawksbeard
"SAPA8",,"Salsola paulsenii Litv.",barbwire Russian thistle
"ECCR",,"Echinochloa crus-galli (L.) P. Beauv.",barnyardgrass
"BASC",,"Bartlettia scaposa A. Gray",Bartlett daisy
"SEPU3",,"Senecio pudicus Greene",bashful ragwort
"ARTRT",,"Artemisia tridentata Nutt. ssp. tridentata ",basin big sagebrush
"ERPU9",,"Erigeron pulcherrimus A. Heller",basin fleabane
"PLIN7",,"Platyschkuhria integrifolia (A. Gray) Rydb.",basindaisy
"COUM",,"Comandra umbellata (L.) Nutt.",bastard toadflax
"ERWR",,"Eriogonum wrightii Torr. ex Benth.",bastardsage
"ERWRW",,"Eriogonum wrightii Torr. ex Benth. var. wrightii ",bastardsage
"CHWO",,"Cheilanthes wootonii Maxon",beaded lipfern
"GLQU",,"Glandularia quandrangulata (A. Heller) Umber",beaked mock vervain
"ELRO2",,"Eleocharis rostellata (Torr.) Torr.",beaked spikerush
"ERUR2",,"Erigeron ursinus D.C. Eaton",Bear River fleabane
"POCR4",,"Potentilla crinita A. Gray",bearded cinquefoil
"POCRC2",,"Potentilla crinita A. Gray var. crinita ",bearded cinquefoil
"CRBA5",,"Cryptantha barbigera (A. Gray) Greene",bearded cryptantha
"CYSQ",,"Cyperus squarrosus L.",bearded flatsedge
"DAPO",,"Dalea pogonathera A. Gray",bearded prairie clover
"DAPOP",,"Dalea pogonathera A. Gray var. pogonathera ",bearded prairie clover
"LEFUF",,"Leptochloa fusca (L.) Kunth ssp. fascicularis (Lam.) N. Snow",bearded sprangletop
"POVI9",,"Polypogon viridis (Gouan) Breistr.",beardless rabbitsfoot grass
"LETR5",,"Leymus triticoides (Buckley) Pilg.",beardless wildrye
"PEBAT2",,"Penstemon barbatus (Cav.) Roth ssp. trichander (A. Gray) D.D. Keck",beardlip penstemon
"PEBA2",,"Penstemon barbatus (Cav.) Roth",beardlip penstemon
"PEBAB",,"Penstemon barbatus (Cav.) Roth ssp. barbatus ",beardlip penstemon
"POPU9",,"Potentilla pulcherrima Lehm.",beautiful cinquefoil
"ERFO3",,"Erigeron formosissimus Greene",beautiful fleabane
"ARPU2",,"Arabis pulchra M.E. Jones ex S. Watson",beautiful rockcress
"ARPUP",,"Arabis pulchra M.E. Jones ex S. Watson var. pallens M.E. Jones",beautiful rockcress
"MIRU3",,"Minuartia rubella (Wahlenb.) Hiern.",beautiful sandwort
"ELBE",,"Eleocharis bella (Piper) Svens.",beautiful spikerush
"SABE2",,"Salix bebbiana Sarg.",Bebb willow
"CABE2",,"Carex bebbii Olney ex Fernald",Bebb's sedge
"FRBE2",,"Frangula betulifolia (Greene) V. Grub.",beechleaf frangula
"KOMY",,"Kobresia myosuroides (Vill.) Fiori",Bellardi bog sedge
"STFL2",,"Stenogonum flexum (M.E. Jones) Reveal & J.T. Howell",bent two-whorl buckwheat
"CEBE2",,"Cerastium beeringianum Cham. & Schltdl.",Bering chickweed
"CEBEE",,"Cerastium beeringianum Cham. & Schltdl. ssp. earlei (Rydb.) Hultén",Bering chickweed
"CABE6",,"Calylophus berlandieri Spach",Berlandier's sundrops
"CABEB2",,"Calylophus berlandieri Spach ssp. berlandieri ",Berlandier's sundrops
"CABEP2",,"Calylophus berlandieri Spach ssp. pinifolius (Engelm. ex A. Gray) Towner",Berlandier's sundrops
"LYBE",,"Lycium berlandieri Dunal",Berlandier's wolfberry
"LYBEB",,"Lycium berlandieri Dunal var. berlandieri ",Berlandier's wolfberry
"LYBEP",,"Lycium berlandieri Dunal var. parviflorum (A. Gray) Terracc.",Berlandier's wolfberry
"LIBE2",,"Linum berlandieri Hook.",Berlandier's yellow flax
"LIBEB2",,"Linum berlandieri Hook. var. berlandieri ",Berlandier's yellow flax
"CYDA",,"Cynodon dactylon (L.) Pers.",Bermudagrass
"HABE3",,"Hackelia besseyi (Rydb.) J.L. Gentry",Bessey's stickseed
"NARE",,"Nama retrorsum J.T. Howell",betatakin fiddleleaf
"BRBE",,"Brickellia betonicifolia A. Gray",betonyleaf brickellbush
"LALU",,"Lactuca ludoviciana (Nutt.) Riddell",biannual lettuce
"NECA3",,"Nerisyrenia camporum (A. Gray) Greene",bicolor fanmustard
"HYBI",,"Hymenopappus biennis B.L. Turner",biennial woollywhite
"ARBI2",,"Artemisia biennis Willd.",biennial wormwood
"ARBIB",,"Artemisia biennis Willd. var. biennis ",biennial wormwood
"LEMI4",,"Leucophyllum minus A. Gray",Big Bend barometerbush
"ANGE",,"Andropogon gerardii Vitman",big bluestem
"CEFOV2",,"Cerastium fontanum Baumg. ssp. vulgare (Hartm.) Greuter & Burdet",big chickweed
"PLRI3",,"Pleuraphis rigida Thurb.",big galleta
"SPWR2",,"Sporobolus wrightii Munro ex Scribn.",big sacaton
"ARTR2",,"Artemisia tridentata Nutt.",big sagebrush
"VEBR",,"Verbena bracteata Cav. ex Lag. & Rodr.",bigbract verbena
"ARBI3",,"Artemisia bigelovii A. Gray",Bigelow sage
"AMBI",,"Amaranthus bigelovii Uline & Bray",Bigelow's amaranth
"BIBI",,"Bidens bigelovii A. Gray",Bigelow's beggarticks
"BIBIB2",,"Bidens bigelovii A. Gray var. bigelovii ",Bigelow's beggarticks
"POBI",,"Poa bigelovii Vasey & Scribn.",Bigelow's bluegrass
"CABI6",,"Carphochaete bigelovii A. Gray",Bigelow's bristlehead
"BLBI",,"Blepharidachne bigelovii (S. Watson) Hack.",Bigelow's desertgrass
"BABI",,"Baccharis bigelovii A. Gray",Bigelow's false willow
"ERBI3",,"Erigeron bigelovii A. Gray",Bigelow's fleabane
"CLBI2",,"Clematis bigelovii Torr.",Bigelow's leather flower
"LIBI2",,"Linanthus bigelovii (A. Gray) Greene",Bigelow's linanthus
"ALBI",,"Allium bigelovii S. Watson",Bigelow's onion
"HYBI2",,"Hymenoxys bigelovii (A. Gray) K.F. Parker",Bigelow's rubberweed
"MABI",,"Machaeranthera bigelovii (A. Gray) Greene",Bigelow's tansyaster
"MABIB",,"Machaeranthera bigelovii (A. Gray) Greene var. bigelovii ",Bigelow's tansyaster
"POFI3",,"Potentilla fissa Nutt.",bigflower cinquefoil
"CUME4",,"Cuscuta megalocarpa Rydb.",bigfruit dodder
"EVPR",,"Evax prolifera Nutt. ex DC.",bighead pygmycudweed
"VIMA",,"Vinca major L.",bigleaf periwinkle
"CAAM10",,"Carex amplifolia Boott",bigleaf sedge
"CYMA",,"Cymopterus macrorhizus Buckley",bigroot springparsley
"CUIN",,"Cuscuta indecora Choisy",bigseed alfalfa dodder
"CUINN",,"Cuscuta indecora Choisy var. neuropetala (Engelm.) Hitchc.",bigseed dodder
"ACGR3",,"Acer grandidentatum Nutt.",bigtooth maple
"AGPA",,"Agastache pallidiflora (A. Heller) Rydb.",Bill Williams Mountain giant hyssop
"AGPAN",,"Agastache pallidiflora (A. Heller) Rydb. ssp. neomexicana (Briq.) Lint & Epling",Bill Williams Mountain giant hyssop
"AGPAH3",,"Agastache pallidiflora (A. Heller) Rydb. ssp. neomexicana (Briq.) Lint & Epling var. havardii (A. Gray) R.W. Sanders",Bill Williams Mountain giant hyssop
"AGPAN2",,"Agastache pallidiflora (A. Heller) Rydb. ssp. neomexicana (Briq.) Lint & Epling var. neomexicana (Briq.) R.W. Sanders",Bill Williams Mountain giant hyssop
"AGPAP2",,"Agastache pallidiflora (A. Heller) Rydb. ssp. pallidiflora ",Bill Williams Mountain giant hyssop
"AGPAG3",,"Agastache pallidiflora (A. Heller) Rydb. ssp. pallidiflora var. gilensis R.W. Sanders",Bill Williams Mountain giant hyssop
"AGPAG4",,"Agastache pallidiflora (A. Heller) Rydb. ssp. pallidiflora var. greenei (Briq.) R.W. Sanders",Bill Williams Mountain giant hyssop
"NELI2",,"Neoparrya lithophila Mathias",Bill's neoparrya
"CODI4",,"Commelina dianthifolia Delile",birdbill dayflower
"CODID",,"Commelina dianthifolia Delile var. dianthifolia ",birdbill dayflower
